,Quote,Author
5470,Art is the final cunning of the human soul which would rather do anything than face the gods,Iris Murdoch
5471,"Kindness, I’ve discovered, is everything in life",Isaac Bashevis Singer
5472,America is too great for small dreams,Ronald Reagan
5473,"Do your work, then step back. The only path to serenity",Lao Tzu
5474,Sometimes you just have to jump out the window and grow wings on the way down,Ray Bradbury
5475,"when you're cool for twenty,you get paid for twenty-one",Miguel Piñero
5476,Never follow the crowd,Bernard M. Baruch
5477,"The More we value things, the less we value ourselves",Bruce Lee
5478,"Pray, hope, and don't worry. Worry is useless. God is merciful and will hear your prayer",Padre Pio
5479,"Real poetry, is to lead a beautiful life. To live poetry is better than to write it",Matsuo Bashō
5480,"Out of 100 men, one will read the Bible, the other 99 will read the Christian",D.L. Moody
5481,"Sometimes, kids want you to hurt the way they hurt",Mitch Albom
5482,"Never say that I have taken it, only that I have given it back",Epicurus
5483,"The greatest blessing granted to mankind come by way of madness, which is a divine gift",Socrates
5484,"Today is the oldest you've ever been, and the youngest you'll ever be again",Eleanor Roosevelt
5485,"If freedom is short of weapons, we must compensate with willpower",Adolf Hitler
5486,Perhaps life is just that... a dream and a fear,Joseph Conrad
5487,The summit of happiness is reached when a person is ready to be what he is,Desiderius Erasmus
5488,It is man's natural sickness to believe that he possesses the truth,Blaise Pascal
5489,"Happiness is found in doing, not merely possessing",Napoleon Hill
5490,"If God exists, I hope he has a good excuse",Woody Allen
5491,Poetry is an echo asking a shadow to dance,Carl Sandburg
5492,All day and all night my desire for you unwinds like a poisonous snake,Samar Sen
5493,"I want everyone to wear what they want and mix it in their own way. That, to me, is what is modern",Karl Lagerfeld
5494,The invisible and the non-existent look very much alike,Delos McKown
5495,Rewards and punishment is the lowest form of education,Zhuangzi
5496,It is in your moments of decision that your destiny is shaped,Anthony Robbins
5497,"Temptation is not to be feared, but controlled",Deborah Brodie
5498,"Leaders live by choice, not by accident",Mark Gorman
5499,I AM THE MASTER OF MY FATE AND THE CAPTAIN OF MY DESTINY,Nelson Mandela
5500,"I belive I can fly, I believe I can touch the sky",R. Kelly
5501,And the only way to do great work is to love what you do.... Don't settle,Steve Jobs
5502,Facts are the enemy of truth,Miguel de Cervantes Saavedra
5503,We are willing to believe anything other than the truth,Carlos Ruiz Zafón
5504,We can never know who or what we are till we know at least something of what God is,A.W. Tozer
5505,"Writing is like making love. Don't worry about the orgasm, just concentrate on the process",Isabel Allende
5506,"If you can quit, then quit. If you can't quit, you're a writer",R.A. Salvatore
5507,The only way to support a revolution is to make your own,Abbie Hoffman
5508,The Way is not in the sky; the Way is in the heart,Gautama Buddha
5509,"I do not want the peace which passeth understanding, I want the understanding which bringeth peace",Helen Keller
5510,"As we all know, blinking lights means science",Joss Whedon
5511,Tis the good reader that makes the good book,Ralph Waldo Emerson
5512,"If books are not good company, where shall I find it?",Mark Twain
5513,Success consists of getting up just one more time than you fall,Oliver Goldsmith
5514,Most art is fragile and some should be placed and never moved away,Donald Judd
5515,I don’t want life to imitate art. I want life to BE art,Carrie Fisher
5516,God made the world round so we would never be able to see too far down the road,Karen Blixen
5517,"That's one small step for a man, one giant leap for mankind",Neil Armstrong
5518,"Tough times don't last, tough people do, remember?",Gregory Peck
5519,It'd Be a Lot Cooler If You Did,Matthew McConaughey
5520,A flower blossoms for its own joy,Oscar Wilde
5521,It sometimes takes a state of solitude to bring to mind the real power of companionship,Stephen Richards
5522,If you gave [Jerry] Falwell an enema he could be buried in a matchbox,Christopher Hitchens
5523,The public wants work which flatters its illusions,Gustave Flaubert
5524,Toby Zeigler: There's literally no one in the world I don't hate right now,Aaron Sorkin
5525,"I failed to communicate, that's why I chose to leave",Bob Dylan
5526,"Too many locks, not enough keys",Sarah Dessen
5527,"What affects one in a major way, affects all in a minor way",Martin Luther King Jr.
5528,"I can hardly wait for tomorrow, it means a new life for me each and every day",Stanley Kunitz
5529,I regard the afterlife to be a fairy story for people that are afraid of the dark,Stephen Hawking
5530,"Reason is in fact the path to faith, and faith takes over when reason can say no more",Thomas Merton
5531,There are two ways to dislike poetry: One is to dislike it; the other is to read Pope,Oscar Wilde
5532,Nobody is smarter than you are. And what if they are? What good is their understanding doing you?,Terence McKenna
5533,"If you're not gonna go all the way, why go at all?",Joe Namath
5534,What goes up must come down,Isaac Newton
5535,"The success and the failure are not my concern, but His",Joseph Barber Lightfoot
5536,My imagination can picture no fairer happiness than to continue living for art,Clara Schumann
5537,"Evil exists in us all, Torak. Some fight it. Some feed it. That's how it's always been",Michelle Paver
5538,How small a thought it takes to fill a life,Ludwig Wittgenstein
5539,"Men take care not to make women weep, for God counts their tears",Thomas S. Monson
5540,Look beyond yourself.,Michael Jackson
5541,Love is only one fine star away,Stevie Nicks
5542,Only God is awesome,Shane Claiborne
5543,Poetry is a way of taking life by the throat,Robert Frost
5544,"… and the most beautiful words ever spoken, I have not yet said to you",Nâzım Hikmet
5545,"What is wanted is not the will to believe, but the will to find out, which is the exact opposite",Bertrand Russell
5546,I know I'm an acquired taste - I'm anchovies. And not everybody wants those hairy little things,Tori Amos
5547,True beauty lies in purity of the heart,Mahatma Gandhi
5548,Your own Self-Realization is the greatest service you can render the world,Ramana Maharshi
5549,Better to shun the bait than struggle in the snare,William Blake
5550,"Let no feeling of discouragement preyupon you, and in the end you are sure to succeed",Abraham Lincoln
5551,Edit your life frequently and ruthlessly. It's your masterpiece after all,Nathan W. Morris
5552,"Science is what you know, philosophy is what you don't know",Bertrand Russell
5553,"Those guys who want to have the Mohawk...which, to me, is the new business casual",Gerard Way
5554,Read. Read 1000 pages for every 1 page that you write,Sherman Alexie
5555,"Change is not always growth, but growth is often rooted in change.Drizzt Do'Urden",R.A. Salvatore
5556,"If it's natural to kill, how come men have to go into training to learn how?",Joan Baez
5557,"The idea of God, infinity, or spirit stands for the possible attempt at an impossible conception",Edgar Allan Poe
5558,God doesn't bless us just to make us happy; He blesses us to make us a blessing,Warren W. Wiersbe
5559,"Don't look forward to the day you stop suffering, because when it comes you'll know you're dead",Tennessee Williams
5560,Calligraphy of geeseagainst the sky-the moon seals it,Yosa Buson
5561,Luxury is the ease of a t-shirt in a very expensive dress,Karl Lagerfeld
5562,Success is the space one occupies in the newspaper. Success is one day's insolence,Elias Canetti
5563,Life is like a ten speed bicycle. Most of us have gears we never use,Charles M. Schulz
5564,The first symptom of love in a young man is timidity; in a girl boldness,Victor Hugo
5565,Vitality is radiated from exceptional art and architecture,Arthur Erickson
5566,Nothing in man is more serious than his sense of humor; it is the sign that he wants all the truth,Mark Van Doren
5567,It takes too much energy to be against something unless it's really important,Madeleine L'Engle
5568,We are star stuff harvesting sunlight,Carl Sagan
5569,Pray for the dead and fight like hell for the living,Mary Harris Jones
5570,"When a good man is hurt, all who would be called good must suffer with him",Euripides
5571,I have too much respect for the idea of God to make it responsible for such an absurd world,Georges Duhamel
5572,Confidence in others' honesty is no light testimony of one's own integrity,Michel de Montaigne
5573,The words get easier the moment you stop fearing them,Tahereh Mafi
5574,"Writing is a dog’s life, but the only one worth living",Gustave Flaubert
5575,"I shall live badly if I do not write, and I shall write badly if I do not live",Françoise Sagan
5576,We are all pencils in the hand of God,Mother Teresa
5577,If you want to be a writer-stop talking about it and sit down and write!,Jackie Collins
5578,Myth is what we call other people's religion,Joseph Campbell
